id,jour,ordre histoires,ordre conditions,histoire,type,condition,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
8,2,s 0132,c 0231,0,vehicule,0,Sonistik,Sonistik,True,F,f,z_o_n_i_s_t_i_k,7.714285714285714,Keimase,k_aI_m_a_s_@,5.714285714285714
8,2,s 0132,c 0231,0,maison,0,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
8,2,s 0132,c 0231,1,maison,2,-1,Ligete,False,,,l_i_g_e_t_@,10,,,10
8,2,s 0132,c 0231,0,personnage,0,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
8,2,s 0132,c 0231,3,maison,3,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
8,2,s 0132,c 0231,1,vehicule,2,Ligete,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
8,2,s 0132,c 0231,2,maison,1,Mattendich,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
8,2,s 0132,c 0231,1,personnage,2,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
8,2,s 0132,c 0231,3,vehicule,3,Madikten,Melare,False,,,m_e_l_a_r_@,10,,,10
8,2,s 0132,c 0231,2,personnage,1,Soltete,Soltete,True,Sodete,z_o_d_e_t_@,z_o_l_t_e_t_@,1.7142857142857144,Soltete,z_o_l_t_e_t_@,1.7142857142857144
8,2,s 0132,c 0231,2,vehicule,1,Wecktellin,Wecktellin,True,Vekteline,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0,Wecktellin,v_@_k_t_e_l_i_n,0.0
8,2,s 0132,c 0231,3,personnage,3,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10,,,10
10,2,s 1203,c 1230,0,vehicule,3,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
10,2,s 1203,c 1230,0,maison,3,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
10,2,s 1203,c 1230,1,maison,1,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
10,2,s 1203,c 1230,0,personnage,3,Mielbete,Mielbete,True,milbene,m_i_l_b_e_n_@,m_i_l_b_e_t_@,1.142857142857143,Mielbete,m_i_l_b_e_t_@,1.142857142857143
10,2,s 1203,c 1230,3,maison,0,Tereinat,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
10,2,s 1203,c 1230,1,vehicule,1,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
10,2,s 1203,c 1230,2,maison,2,Madikten,Madikten,True,madigte,m_a_d_i_g_t_@,m_a_d_i_k_t_@,0.7142857142857143,Madikten,m_a_d_i_k_t_@,0.7142857142857143
10,2,s 1203,c 1230,1,personnage,1,-1,Tereinat,False,terainat,t_e_r_aI_n_a_t,t_e_r_aI_n_a_t,0.0,Tereinat,t_e_r_aI_n_a_t,0.0
10,2,s 1203,c 1230,3,vehicule,0,Lasgelich,Melare,False,,,m_e_l_a_r_@,10,,,10
10,2,s 1203,c 1230,2,personnage,2,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
10,2,s 1203,c 1230,2,vehicule,2,Wecktellin,Wecktellin,True,vectelin,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0,Wecktellin,v_@_k_t_e_l_i_n,0.0
10,2,s 1203,c 1230,3,personnage,0,Zulergen,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
6,3,s 3021,c 2103,0,vehicule,1,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
6,3,s 3021,c 2103,0,maison,1,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
6,3,s 3021,c 2103,1,maison,3,Lasgelich,Ligete,False,,,l_i_g_e_t_@,10,,,10
6,3,s 3021,c 2103,0,personnage,1,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
6,3,s 3021,c 2103,3,maison,2,Zulergen,Zulergen,True,lyserge,l_y_s_@_r_g_@,ts_u_l_@_r_g_@,3.0,Zulergen,ts_u_l_@_r_g_@,3.0
6,3,s 3021,c 2103,1,vehicule,3,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
6,3,s 3021,c 2103,2,maison,0,Ligete,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
6,3,s 3021,c 2103,1,personnage,3,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
6,3,s 3021,c 2103,3,vehicule,2,Keimase,Melare,False,,,m_e_l_a_r_@,10,,,10
6,3,s 3021,c 2103,2,personnage,0,Zulergen,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
6,3,s 3021,c 2103,2,vehicule,0,Wecktellin,Wecktellin,True,wektellin ,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0,Wecktellin,v_@_k_t_e_l_i_n,0.0
6,3,s 3021,c 2103,3,personnage,2,Tereinat,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
11,2,s 3120,c 2301,0,vehicule,1,Melare,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
11,2,s 3120,c 2301,0,maison,1,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10,,,10
11,2,s 3120,c 2301,1,maison,3,Wecktellin,Ligete,False,,,l_i_g_e_t_@,10,,,10
11,2,s 3120,c 2301,0,personnage,1,Keimase,Mielbete,False,Lytgelich,l_y_t_g_e_l_i_C,m_i_l_b_e_t_@,6.571428571428572,Lasgelich,l_a_s_g_e_l_i_C,2.142857142857143
