id,jour,ordre conditions,ordre histoires,condition,histoire,PM oral,nbSyll,debit moyen,variance debit,identification,dénomination,nb0,nb1,freq moy pédalage/baseline,variance pédalage/baseline,freq moy pédalage,variance pédalage,nbSyllAudio,nbPauses,SpeechRate,ArticulationRate,SpeakingDuration,originalDuration
4,2,c 0132,s 0231,2,1,,442,2.981966502299613,3.0771295357569666,0,0.0,3,0,13.49548444586446,81.73916517630255,1.0230868139751745,0.0476821887890769,462,59,3.1132075471698113,4.3019964243146624,0.7236657681940697,107.39199999999994
5,2,c 3102,s 2310,1,3,,431,3.728293097946022,4.4966743827924365,0,0.0,3,0,,,,,344,52,2.9790771788831925,4.612744046341987,0.6458362200360259,74.576
5,1,c 3102,s 2310,1,3,,621,3.4054499787715153,4.497503803766985,0,0.8999999999999999,1,0,,,,,516,93,2.8267157507231135,4.7149122807017525,0.5995266894556932,109.44000000000004
5,2,c 3102,s 2310,2,0,,354,3.4573790603186434,5.120723333099476,0,0.0,3,0,,,1.0103980686213054,0.048655961050520856,294,36,2.871542428504454,4.475158304919629,0.6416627598062199,65.69600000000001
5,1,c 3102,s 2310,0,1,,446,3.6657417751514205,4.530830857331908,0,2.6857142857142855,0,1,,,,,359,54,2.9353087388801673,4.445710322964136,0.6602564102564104,80.75200000000001
5,1,c 3102,s 2310,3,2,,561,3.171230062995752,5.2146456957088265,0,3.0,0,3,-27.77144179362757,77.60798070174224,0.7642255456612759,0.07375526184188867,480,76,2.7716186252771617,4.729623206684538,0.5860125646711007,101.48799999999991
5,2,c 3102,s 2310,3,2,,391,3.427452224926017,3.9620099975771064,0,0.3857142857142857,2,0,-29.91433351277192,30.233297313074114,0.7455708272627564,0.04462456451989017,333,44,2.920642716811675,4.388970898355121,0.6654504630928996,75.87200000000006
5,2,c 3102,s 2310,0,1,,431,3.75182895688014,4.627395483981963,0,0.8285714285714285,2,0,,,,,358,44,3.1189015890716476,4.652734456227906,0.6703373292444941,76.944
5,1,c 3102,s 2310,2,0,,329,2.7871521533961947,4.516864700704011,0,1.9285714285714286,1,1,,,1.0450332836398493,0.06204444997732485,295,55,2.4959388114254772,4.5502221125370195,0.5485312034655475,64.832
6,1,c 2103,s 3021,0,2,,482,4.594677730043597,2.07158819694709,0,2.7857142857142856,0,1,,,,,437,28,4.163490853658537,4.988584474885844,0.8346036585365856,87.60000000000001
6,2,c 2103,s 3021,2,3,,342,4.1080755300044824,1.8904599973149203,0,0.0,3,0,-23.04789199582705,-34.58504786504215,0.6282241586963674,0.03929399578912571,313,25,3.7685417068002307,4.612709266682385,0.8169909458678483,67.85600000000001
6,2,c 2103,s 3021,0,2,,340,4.019346892546116,1.4877664360494394,0,0.6428571428571429,2,0,,,,,316,24,3.751899696048632,4.5318953648462585,0.8278875379939211,69.72800000000002
6,2,c 2103,s 3021,3,1,,339,4.2329049085838655,1.8354988617744208,0,0.0,3,0,-43.80572609242988,-34.96797256932741,0.49321778292691676,0.04290873766152963,323,15,4.0399239543726235,4.5995670995671,0.8783269961977186,70.22399999999999
6,1,c 2103,s 3021,2,3,,316,3.3738279785114997,2.847874291594913,0,2.1,0,1,-18.54549723416613,-18.25879238251169,0.6677168441318508,0.04728773686429892,319,23,3.737814023247094,4.714471506266259,0.7928383952005996,67.66399999999997
